,0
0,4
1,2
2,2
3,4
4,2
5,2
6,7
7,1
8,0
9,7
10,4
11,2
12,0
13,6
14,2
15,4
16,3
17,3
18,6
19,2
20,0
21,9
22,2
23,6
24,2
25,8
26,4
27,6
28,5
29,8
30,7
31,2
32,0
33,1
34,4
35,9
36,2
37,2
38,1
39,2
40,8
41,6
42,2
43,3
44,8
45,6
46,2
47,6
48,0
49,7
50,4
51,2
52,5
53,1
54,7
55,0
56,4
57,5
58,1
59,6
60,7
61,8
62,0
63,6
64,8
65,8
66,3
67,1
68,0
69,2
70,1
71,0
72,6
73,7
74,2
75,8
76,7
77,0
78,3
79,2
80,4
81,6
82,8
83,3
84,1
85,7
86,1
87,8
88,9
89,1
90,4
91,6
92,3
93,7
94,8
95,3
96,2
97,4
98,2
99,3
100,8
101,4
102,4
103,2
104,6
105,7
106,6
107,0
108,4
109,8
110,3
111,3
112,1
113,1
114,5
115,4
116,2
117,8
118,6
119,8
120,6
121,2
122,7
123,8
124,0
125,5
126,2
127,2
128,8
129,2
130,1
131,4
132,8
133,2
134,5
135,7
136,2
137,1
138,1
139,7
140,4
141,3
142,2
143,7
144,4
145,7
146,2
147,1
148,8
149,2
150,1
151,6
152,8
153,2
154,5
155,1
156,1
157,8
158,2
159,8
160,7
161,2
162,0
163,0
164,5
165,2
166,1
167,8
168,8
169,4
170,7
171,7
172,0
173,1
174,2
175,0
176,2
177,4
178,2
179,4
180,4
181,0
182,7
183,5
184,2
185,4
186,3
187,5
188,6
189,2
190,3
191,2
192,9
193,3
194,2
195,3
196,9
197,7
198,0
199,2
200,8
201,2
202,3
203,5
204,4
205,7
206,6
207,7
208,4
209,7
210,1
211,2
212,2
213,2
214,8
215,2
216,2
217,2
218,9
219,0
220,4
221,8
222,8
223,4
224,3
225,6
226,1
227,8
228,8
229,7
230,2
231,4
232,8
233,7
234,8
235,5
236,9
237,0
238,8
239,0
240,9
241,6
242,8
243,8
244,4
245,2
246,8
247,2
248,4
249,7
250,5
251,1
252,7
253,4
254,8
255,4
256,2
257,4
258,2
259,2
260,7
261,8
262,3
263,2
264,2
265,4
266,2
267,4
268,4
269,4
270,8
271,1
272,6
273,5
274,0
275,8
276,2
277,2
278,2
279,0
280,4
281,2
282,5
283,0
284,7
285,3
286,0
287,1
288,2
289,7
290,3
291,3
292,8
293,7
294,8
295,4
296,3
297,2
298,9
299,2
300,9
301,7
302,8
303,6
304,0
305,8
306,1
307,6
308,7
309,4
310,7
311,4
312,7
313,2
314,2
315,2
316,7
317,2
318,2
319,1
320,2
321,8
322,7
323,1
324,7
325,2
326,5
327,4
328,4
329,6
330,4
331,2
332,3
333,4
334,7
335,6
336,2
337,5
338,2
339,6
340,2
341,2
342,7
343,4
344,2
345,8
346,1
347,5
348,3
349,1
350,3
351,2
352,2
353,3
354,6
355,4
356,2
357,2
358,7
359,2
360,5
361,4
362,2
363,3
364,6
365,7
366,6
367,0
368,8
369,8
370,2
371,2
372,4
373,4
374,9
375,4
376,8
377,4
378,2
379,4
380,0
381,1
382,6
383,6
384,3
385,2
386,4
387,7
388,6
389,8
390,8
391,4
392,5
393,4
394,1
395,6
396,3
397,1
398,4
399,2
400,4
401,7
402,8
403,4
404,1
405,2
406,0
407,5
408,4
409,9
410,8
411,0
412,1
413,3
414,8
415,4
416,8
417,8
418,2
419,8
420,7
421,3
422,3
423,5
424,6
425,3
426,6
427,2
428,6
429,2
430,2
431,2
432,4
433,2
434,8
435,1
436,7
437,6
438,8
439,8
440,2
441,2
442,3
443,2
444,1
445,6
446,8
447,2
448,7
449,7
450,8
451,7
452,4
453,2
454,1
455,7
456,1
457,6
458,6
459,2
460,2
461,1
462,6
463,5
464,2
465,4
466,2
467,7
468,0
469,6
470,8
471,3
472,2
473,6
474,7
475,5
476,2
477,8
478,9
479,3
480,0
481,2
482,1
483,5
484,2
485,4
486,8
487,2
488,8
489,5
490,1
491,4
492,2
493,0
494,0
495,4
496,2
497,7
498,2
499,2
500,4
501,2
502,2
503,8
504,7
505,6
506,5
507,8
508,2
509,2
510,1
511,2
512,8
513,2
514,0
515,8
516,0
517,2
518,4
519,7
520,2
521,3
522,7
523,4
524,7
525,1
526,4
527,1
528,3
529,2
530,2
531,2
532,5
533,8
534,6
535,3
536,2
537,2
538,2
539,3
540,6
541,2
542,7
543,1
544,8
545,2
546,3
547,2
548,2
549,2
550,8
551,6
552,7
553,2
554,8
555,2
556,4
557,4
558,8
559,8
560,2
561,9
562,7
563,0
564,3
565,9
566,7
567,4
568,8
569,1
570,6
571,4
572,4
573,2
574,7
575,4
576,2
577,0
578,6
579,7
580,9
581,6
582,6
583,4
584,2
585,7
586,4
587,2
588,4
589,4
590,2
591,1
592,1
593,2
594,2
595,4
596,6
597,2
598,6
599,1
600,7
601,5
602,2
603,2
604,4
605,5
606,0
607,2
608,1
609,8
610,2
611,6
612,8
613,8
614,5
615,6
616,4
617,3
618,4
619,8
620,4
621,2
622,7
623,8
624,0
625,2
626,9
627,4
628,2
629,2
630,8
631,7
632,5
633,2
634,2
635,4
636,4
637,1
638,4
639,8
640,2
641,5
642,1
643,7
644,2
645,9
646,6
647,1
648,1
649,2
650,2
651,4
652,4
653,7
654,4
655,7
656,4
657,3
658,9
659,2
660,2
661,2
662,7
663,3
664,4
665,0
666,4
667,1
668,3
669,4
670,9
671,8
672,2
673,8
674,0
675,2
676,4
677,8
678,2
679,3
680,8
681,8
682,2
683,7
684,2
685,0
686,5
687,4
688,1
689,2
690,1
691,4
692,8
693,1
694,8
695,0
696,3
697,7
